"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"","47872","0","0","0","0","0",,"",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8008","0",,"False",,,"0",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"47872",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,,"0","","True","",,,,,
"","1","0","0","0","0","0","/sbin/launchd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8052","0",,"False",,,"1",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (launchd)","0","","True","",,,,,
"","117","0","0","0","0","0","/usr/libexec/logd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2368","0",,"False",,,"117",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"117",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (logd)","0","","True","",,,,,
"","118","0","0","0","0","0","/usr/libexec/smd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5024","0",,"False",,,"118",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"118",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (smd)","0","","True","",,,,,
"","119","0","0","0","0","0","/usr/libexec/UserEventAgent","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4944","0",,"False",,,"119",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"119",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (UserEventAgent)","0","","True","",,,,,
"","122","0","0","0","0","0","/System/Library/PrivateFrameworks/Uninstall.framework/Versions/A/Resources/uninstalld","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4196","0",,"False",,,"122",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"122",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (uninstalld)","0","","True","",,,,,
"","123","0","0","0","0","0","/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7276","0",,"False",,,"123",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"123",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (fseventsd)","0","","True","",,,,,
"","124","0","0","0","0","0","/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5160","0",,"False",,,"124",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"124",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mediaremoted)","0","","True","",,,,,
"","127","0","0","0","0","0","/usr/sbin/systemstats","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6196","0",,"False",,,"127",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"127",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (systemstats)","0","","True","",,,,,
"","129","0","0","0","0","0","/usr/libexec/configd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2864","0",,"False",,,"129",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"129",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (configd)","0","","True","",,,,,
